名稱,類別,地區,片長,上映日期,評分,星等價值
蝙蝠俠：黑暗騎士崛起 - The Dark Knight Rises,"劇情, 動作, 科幻, 驚悚, 犯罪",美國、英國,165 分鐘,2012-08-27,8.9,4.75
鬼子來了 - Devils on the Doorstep,"劇情, 戰爭",中國大陸,139 分鐘,2000-05-13,8.8,4.75
無敵破壞王 - Wreck-It Ralph,"喜劇, 動畫, 奇幻, 冒險",美國,101 分鐘,2012-11-06,8.8,4.75
致命魔術 - The Prestige,"劇情, 懸疑, 驚悚",美國、英國,130 分鐘,2006-10-17,8.8,4.75
神偷奶爸 - Despicable Me,"喜劇, 動畫, 冒險",美國、法國,95 分鐘,2010-06-20,8.8,4.75
斷背山 - Brokeback Mountain,"劇情, 愛情, 家庭",美國、加拿大,134 分鐘,2005-09-02,8.8,4.75
怦然心動 - Flipped,"劇情, 喜劇, 愛情",美國,90 分鐘,2010-07-26,8.8,4.75
馴龍高手 - How to Train Your Dragon,"喜劇, 動畫, 奇幻, 冒險",美國,98 分鐘,2010-05-14,8.8,4.75
飛屋環遊記 - Up,"劇情, 喜劇, 動畫, 冒險",美國,96 分鐘,2009-08-04,8.8,4.75
駭客帝國3：矩陣革命 - The Matrix Revolutions,"動作, 科幻",美國、澳大利亞,129 分鐘,2003-11-05,8.8,4.75
速度與激情5 - Fast Five,"動作, 犯罪",美國,130 分鐘,2011-05-12,8.9,4.75
勇敢的心 - Braveheart,"劇情, 動作, 傳記, 歷史, 戰爭",美國,177 分鐘,1995-05-18,8.9,4.75
三傻大鬧寶萊塢 - 3 Idiots,"劇情, 喜劇, 愛情, 歌舞",印度,171 分鐘,2011-12-08,8.9,4.75
聞香識女人 - Scent of a Woman,劇情,美國,157 分鐘,1992-12-23,8.9,4.75
末代皇帝 - The Last Emperor,"劇情, 傳記, 歷史",英國、義大利、中國大陸、法國、美國,163 分鐘,1987-10-23,8.9,4.75
風之谷 - 風の谷のナウシカ,"動畫, 奇幻, 冒險",日本,117 分鐘,未知,8.9,4.75
大話西遊之月光寶盒 - A Chinese Odyssey,"喜劇, 愛情, 奇幻, 古裝",中國香港、中國大陸,87 分鐘,2014-10-24,8.9,4.75
放牛班的春天 - Les choristes,"劇情, 音樂",法國、德國、瑞士,97 分鐘,2004-10-16,8.9,4.75
當幸福來敲門 - The Pursuit of Happyness,"劇情, 家庭, 傳記",美國,117 分鐘,2008-01-17,8.9,4.75
幽靈公主 - もののけ姫,"動畫, 奇幻, 冒險",日本,134 分鐘,1998-05-01,8.9,4.75
十二怒漢 - 12 Angry Men,劇情,美國,96 分鐘,1957-04-13,8.9,4.75
搏擊俱樂部 - Fight Club,"劇情, 動作, 懸疑, 驚悚",美國、德國,139 分鐘,1999-09-10,8.9,4.75
瘋狂原始人 - The Croods,"喜劇, 動畫, 冒險",美國,98 分鐘,2013-04-20,8.9,4.75
阿凡達 - Avatar,"動作, 科幻, 冒險",美國、英國,162 分鐘,2010-01-04,8.9,4.75
哈爾的移動城堡 - ハウルの動く城,"動畫, 奇幻, 冒險",日本,119 分鐘,2004-09-05,8.9,4.75
盜夢空間 - Inception,"劇情, 科幻, 懸疑, 冒險",美國、英國,148 分鐘,2010-09-01,8.9,4.75
忠犬八公的故事 - Hachi: A Dog's Tale,劇情,美國、英國,93 分鐘,2009-06-13,8.9,4.75
拯救大兵瑞恩 - Saving Private Ryan,"劇情, 歷史, 戰爭",美國,169 分鐘,1998-11-13,8.9,4.75
活著 - To Live,"劇情, 家庭, 歷史",中國大陸、中國香港,132 分鐘,1994-05-17,9.0,4.75
機器人總動員 - WALL·E,"喜劇, 科幻, 動畫",美國,98 分鐘,2008-06-27,9.0,4.75
天堂電影院 - Nuovo Cinema Paradiso,"劇情, 愛情",義大利、法國,155 分鐘,1988-11-17,9.0,4.75
指環王2：雙塔奇兵 - The Lord of the Rings: The Two Towers,"劇情, 動作, 奇幻, 冒險",美國、紐西蘭,179 分鐘,2003-04-25,9.0,4.75
指環王1：護戒使者 - The Lord of the Rings: The Fellowship of the Ring,"劇情, 動作, 奇幻, 冒險",紐西蘭、美國,178 分鐘,2002-04-04,9.0,4.75
射鵰英雄傳之東成西就 - The Eagle Shooting Heroes,"喜劇, 奇幻, 武俠, 古裝",中國香港,113 分鐘,1993-02-05,9.0,4.75
蝙蝠俠：黑暗騎士 - The Dark Knight,"劇情, 動作, 科幻, 驚悚, 犯罪",美國、英國,152 分鐘,2008-07-14,9.0,4.75
無間道 - Infernal Affairs,"劇情, 懸疑, 犯罪",中國香港,101 分鐘,2003-09-05,9.0,4.75
教父2 - The Godfather: Part Ⅱ,"劇情, 犯罪",美國,202 分鐘,1974-12-12,9.0,4.75
加勒比海盜 - Pirates of the Caribbean: The Curse of the Black Pearl,"動作, 奇幻, 冒險",美國,143 分鐘,2003-11-21,9.0,4.75
哈利·波特與魔法石 - Harry Potter and the Sorcerer's Stone,"奇幻, 冒險",美國、英國,152 分鐘,2002-01-26,9.0,4.75
指環王3：王者無敵 - The Lord of the Rings: The Return of the King,"劇情, 動作, 奇幻, 冒險",美國、紐西蘭,201 分鐘,2004-03-15,9.0,4.75
駭客帝國 - The Matrix,"動作, 科幻",美國、澳大利亞,136 分鐘,2000-01-14,9.0,4.75
剪刀手愛德華 - Edward Scissorhands,"劇情, 愛情, 奇幻",美國,105 分鐘,1990-12-06,9.0,4.75
春光乍洩 - Happy Together,"劇情, 愛情",中國香港、日本、韓國,96 分鐘,1997-05-17,9.0,4.75
大鬧天宮 - The Monkey King,"動畫, 奇幻",中國大陸,114 分鐘,1965-12-31,9.0,4.75
天空之城 - 天空の城ラピュタ,"動畫, 奇幻, 冒險",日本,125 分鐘,1992-05-01,9.0,4.75
音樂之聲 - The Sound of Music,"劇情, 愛情, 歌舞, 傳記",美國,174 分鐘,1965-03-02,9.0,4.75
辛德勒的名單 - Schindler's List,"劇情, 歷史, 戰爭",美國,195 分鐘,1993-11-30,9.5,4.75
魂斷藍橋 - Waterloo Bridge,"劇情, 愛情, 戰爭",美國,108 分鐘,1940-05-17,9.5,4.75
